brush,154.21146039662628
qualiti,87.75473933702365
set,53.889684449792654
price,41.30354241164721
product,34.243623294633075
case,23.507230943280998
red,7.987387309023189
pouch,19.21866298653203
thing,-1.3544123496402412
review,-7.091118920196064
smell,-13.966675104513213
hair,-9.283169473150709
deal,22.291954293177195
time,1.101351407952912
us,4.230486958416053
bui,16.120724578798537
color,10.500032586078227
bag,9.250648963735447
-lrb-,0.5920038087173948
-rrb-,0.5090410303205121
packag,9.73203798131618
kit,5.630715003273041
first,0.6338434964262434
dai,1.5172811647348217
starter,0.46722669573659936
makeup,2.330593004416536
month,-1.011712299783658
condit,10.241076964131512
favorit,-0.07315817171632658
daughter,2.243727551467368
bit,-1.9830885994508538
deliveri,3.499642725740025
gift,4.335998351402655
amount,1.3849032489246142
best,1.1244706555799207
applic,1.835623359989694
artist,1.2674170369923523
cheap,0.0
basi,-0.2187709334466557
amaz,0.0
biggest,-0.3768203496601589
13-piec,-0.07364286716229486
-lsb-,-0.007146640511765779
-rsb-,0.0
