film,17.54130737083362
stori,-3.0864225291944254
wai,-1.1274135301324932
scene,1.11888979322689
-lrb-,-0.08100106266595514
thing,0.5800495768057148
director,8.162548828657858
noir,1.1469219369007595
peopl,-0.28690462604680367
perform,5.563398859671011
theme,1.0308852924861713
moment,0.15277532800400628
time,-1.4977977984550552
movi,-0.9523366118275384
dialogu,-0.05308954688078471
life,1.1804368137889913
manner,1.3469340164800911
end,1.609236720106607
atmospher,-1.7231032372322852
act,4.784295400386433
messag,-0.1786003157097854
-rrb-,-0.10001748282178374
actor,2.4139971817018853
drama,-0.5354050711193568
man,0.44238008705382537
line,1.2999209050202538
hero,-0.6054193896496485
cinematographi,2.487911857672531
action,-0.2331775749450411
audienc,-0.35171958030378314
american,0.014545454545454556
attitud,0.23325875915880923
accent,0.0526774441551047
action-pack,0.1789367372703044
affect,-0.2513975071128573
affair,0.6440909090909092
-lsb-,0.0
-rsb-,0.0
